,Protein,ENSG,UniProt,Source,Score,disease_id
221,PANK1,ENSG00000152782,Q8TE04,uniprot_swissprot,0.4057335674837736,MONDO_0004975
222,SLC24A4,ENSG00000140090,Q8NFF2,uniprot_swissprot,0.4043960335690225,MONDO_0004975
223,ING3,ENSG00000071243,Q9NXR8,uniprot_swissprot,0.402255164135787,MONDO_0004975
224,HTR1A,ENSG00000178394,P08908,uniprot_swissprot,0.4018488184696437,MONDO_0004975
225,MTMR10,ENSG00000166912,Q9NXD2,uniprot_swissprot,0.3977625511098946,MONDO_0004975
226,PLCG2,ENSG00000197943,P16885,uniprot_swissprot,0.39775621643433423,MONDO_0004975
227,INPP5D,ENSG00000168918,Q92835,uniprot_swissprot,0.39641696455215564,MONDO_0004975
228,ADRB2,ENSG00000169252,P07550,uniprot_swissprot,0.39627173307859687,MONDO_0004975
229,PICALM,ENSG00000073921,Q13492,uniprot_swissprot,0.3958494314912234,MONDO_0004975
230,GABRB1,ENSG00000163288,P18505,uniprot_swissprot,0.3941459463768461,MONDO_0004975
231,USP6NL,ENSG00000148429,Q92738,uniprot_swissprot,0.3937575910575337,MONDO_0004975
232,NCSTN,ENSG00000162736,Q92542,uniprot_swissprot,0.3922823964081075,MONDO_0004975
233,PSENEN,ENSG00000205155,Q9NZ42,uniprot_swissprot,0.3917280266260804,MONDO_0004975
234,APH1A,ENSG00000117362,Q96BI3,uniprot_swissprot,0.3914046442532313,MONDO_0004975
235,DLD,ENSG00000091140,P09622,uniprot_swissprot,0.3903422726084744,MONDO_0004975
236,UQCRB,ENSG00000156467,P14927,uniprot_swissprot,0.39014327278328115,MONDO_0004975
237,HTR6,ENSG00000158748,P50406,uniprot_swissprot,0.389590440473316,MONDO_0004975
238,PTPRJ,ENSG00000149177,Q12913,uniprot_swissprot,0.38923929084705017,MONDO_0004975
239,ADRA2B,ENSG00000274286,P18089,uniprot_swissprot,0.3890636700246058,MONDO_0004975
240,RAP2B,ENSG00000181467,P61225,uniprot_swissprot,0.38791879451561884,MONDO_0004975
241,CREB3L3,ENSG00000060566,Q68CJ9,uniprot_swissprot,0.38740467232137743,MONDO_0004975
242,PPARG,ENSG00000132170,P37231,uniprot_swissprot,0.3873761607301269,MONDO_0004975
243,COG8,ENSG00000213380,Q96MW5,uniprot_swissprot,0.38730446790706036,MONDO_0004975
244,NOC3L,ENSG00000173145,Q8WTT2,uniprot_swissprot,0.38563381679235326,MONDO_0004975
245,SLC35C1,ENSG00000181830,Q96A29,uniprot_swissprot,0.38517375918530283,MONDO_0004975
246,SIGMAR1,ENSG00000147955,Q99720,uniprot_swissprot,0.3788193510518193,MONDO_0004975
247,MMP1,ENSG00000196611,P03956,uniprot_swissprot,0.3771166301471791,MONDO_0004975
248,EMC4,ENSG00000128463,Q5J8M3,uniprot_swissprot,0.37648672057651045,MONDO_0004975
249,ZKSCAN1,ENSG00000106261,P17029,uniprot_swissprot,0.37587936770371305,MONDO_0004975
250,TTK,ENSG00000112742,P33981,uniprot_swissprot,0.3751572323810912,MONDO_0004975
251,CREB1,ENSG00000118260,P16220,uniprot_swissprot,0.37513895166558414,MONDO_0004975
252,STAT4,ENSG00000138378,Q14765,uniprot_swissprot,0.37370152141145296,MONDO_0004975
253,FASTK,ENSG00000164896,Q14296,uniprot_swissprot,0.372901622679242,MONDO_0004975
254,BRD2,ENSG00000204256,P25440,uniprot_swissprot,0.37272261530787587,MONDO_0004975
255,NR3C1,ENSG00000113580,P04150,uniprot_swissprot,0.37228533359803173,MONDO_0004975
256,CAPNS1,ENSG00000126247,P04632,uniprot_swissprot,0.3719373353154434,MONDO_0004975
257,ZNF827,ENSG00000151612,Q17R98,uniprot_swissprot,0.37181940482518555,MONDO_0004975
258,PRDX1,ENSG00000117450,Q06830,uniprot_swissprot,0.3717623098623847,MONDO_0004975
259,PTPRA,ENSG00000132670,P18433,uniprot_swissprot,0.3717381617780702,MONDO_0004975
260,ADRA1A,ENSG00000120907,P35348,uniprot_swissprot,0.3714277539581253,MONDO_0004975
261,ADRB1,ENSG00000043591,P08588,uniprot_swissprot,0.37120395252406607,MONDO_0004975
262,GOLGA2,ENSG00000167110,Q08379,uniprot_swissprot,0.37108191028330906,MONDO_0004975
263,PTPRO,ENSG00000151490,Q16827,uniprot_swissprot,0.3709282561667988,MONDO_0004975
264,RAD51C,ENSG00000108384,O43502,uniprot_swissprot,0.3709089868573449,MONDO_0004975
